"","Cap","EM","1. Naive","2. w Ricker","3. SSP-126","4. w Ricker","5. SSP-245","6. w Ricker","7. SSP-585","8. w Ricker"
"1","FALSE","NPFMC Fix-M","   98","   89","   77","   77","   63","   63","   54","   54"
"2",NA,"NPFMC Fix-M (Dynamic B0)","   99","   89","   78","   78","   66","   65","   57","   56"
"3",NA,"NPFMC Est-M","  111","   90","   86","   80","   70","   65","   60","   57"
"4",NA,"NPFMC Est-M (Dynamic B0)","  111","   90","   88","   80","   74","   66","   65","   58"
"5",NA,"MS-B40 iter","   NA","   89","   NA","   80","   NA","   64","   NA","   58"
"6",NA,"MS-B40 simul","  123","   89","   98","   80","   82","   64","   72","   59"
"7",NA,"MS-MSY","  196","   NA","  155","   NA","  123","   NA","  102","   NA"
"8",NA,"MS-cMSY","  168","   40","  134","   40","  111","   37","   97","   38"
"9","TRUE","NPFMC Fix-M","   36","   36","   35","   36","   34","   35","   31","   31"
"10",NA,"NPFMC Fix-M (Dynamic B0)","   36","   36","   35","   36","   35","   35","   33","   33"
"11",NA,"NPFMC Est-M","   36","   36","   35","   36","   35","   35","   32","   32"
"12",NA,"NPFMC Est-M (Dynamic B0)","   36","   36","   35","   36","   35","   35","   34","   33"
"13",NA,"MS-B40 iter","   36","   36","   36","   35","   36","   35","   36","   34"
"14",NA,"MS-B40 simul","   36","   35","   35","   35","   35","   35","   34","   34"
"15",NA,"MS-MSY","   36","   NA","   35","   NA","   35","   NA","   35","   NA"
"16",NA,"MS-cMSY","   36","   35","   35","   34","   35","   35","   35","   30"
