"","Species","Performance metric","ms_mod_OM__ms_run_fb40iter_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",284620.672927543,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"2","Pollock","Catch IAV",0.115700190357005,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.653962244403631,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0125062929430624,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"14","Pollock","OM: Terminal B",3933678.510886,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",770936.722156733,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",1017387.50229031,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",771.708430587321,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.711854670849517,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.730619775236349,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",35549.8339988964,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.0797466572230775,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.506077690811593,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000390247372098695,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
