"","Species","Performance metric","ms_mod_OM__ss_run_M_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",218860.517208163,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.14944762503544,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.81671921507851,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.242237359042037,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0111875,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.022375,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",4094378.34277345,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",847311.501206757,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",1017387.50229031,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",848.159660867624,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.807137271167386,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.850639406825786,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",35549.3508647061,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.0797483018504481,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.495190779523267,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00102051306168387,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
