"","Species","Performance metric","ms_mod_ricker_OM__ss_run_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",573528.563840052,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.291660989810703,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.0034375,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.657184286427513,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0133353005992088,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.002875,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.000375,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00575,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000375,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",4104313.06738398,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",712854.887038268,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",974271.140132131,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",713.568455493761,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.745437972419004,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",0.734379910669046,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",88553.4603906411,"ms_mod_ricker_OM","ss_run_Tier3_EM","FALSE",200
