"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ms_run_concmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",172733.568108908,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"2","Pollock","Catch IAV",2.14599819815416,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"3","Pollock","P(Closed)",0.675334821428571,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"4","Pollock","Avg SSB Relative MSE",19332069296728,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"5","Pollock","Avg terminal SSB Relative MSE",4.70536966268923e+30,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"6","Pollock","EM: P(Fy > Flimit)",0.803459821428571,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"7","Pollock","EM: P(SSB < SSBlimit)",0.893526785714286,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"8","Pollock","OM: P(Fy > Flimit)",0.917633928571429,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"9","Pollock","OM: P(SSB < SSBlimit)",0.905133928571429,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0015625,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.115736607142857,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00100446428571429,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0126116071428571,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"14","Pollock","OM: Terminal B",0.00389026016546893,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"15","Pollock","OM: Terminal SSB",8.73666794171787e-05,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"16","Pollock","OM: Terminal SSB Depletion",8.74541335507294e-08,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.01319819966249e-07,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"18","Pollock","OM: Average SSB Depletion",0.0719647642168947,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
