"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ms_run_fb40iter_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",177574.909619607,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"2","Pollock","Catch IAV",0.631585599066572,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"3","Pollock","P(Closed)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.609013024912154,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0108010192308005,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.003625,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.004125,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.00275,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",6.25e-05,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0005625,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00275,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"14","Pollock","OM: Terminal B",33853.2097979457,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",6586.27181442336,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",3107.29225692659,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",6.59286467910246,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.87064307597557,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",1.41487301173731,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",74,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",56,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",21,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
