"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ss_run_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",115110.67194548,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.66941580201993,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.5036875,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.540414065036445,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00441878378401935,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0033125,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.42575,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",6.25e-05,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.006625,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.4256875,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",157977.433485898,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",37861.5687022577,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"16","Pollock","OM: Terminal SSB Depletion",37.8994681704281,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",23.8524176864873,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"18","Pollock","OM: Average SSB Depletion",4.94362303234327,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"19","Pollock","OM no F: SSB Collapse",74,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"20","Pollock","OM: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"22","Arrowtooth flounder","Average Catch",62626.2416808305,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"23","Arrowtooth flounder","Catch IAV",0.211734661392416,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"24","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"25","Arrowtooth flounder","Avg SSB Relative MSE",0.4402519493011,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"26","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.310214680377829,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"27","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.000125,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"29","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"30","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"31","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"32","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000125,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"35","Arrowtooth flounder","OM: Terminal B",643676.261026651,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"36","Arrowtooth flounder","OM: Terminal SSB",121522.377023825,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal SSB Depletion",121.64402104487,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.427110925880866,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.488369834663703,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
