"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ss_run_M_dynamicTier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",92028.1965500896,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.404301860290719,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.0303125,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.742248700856683,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.20509310822543,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0395,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.0138125,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.000125,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.0001875,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.079,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00025,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.013625,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",39221.4618002851,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",8657.66739849387,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",1372.2304164048,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",8.6663337322261,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",6.57940882508132,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",2.97958267573473,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",143,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",73,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",37,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",58459.4510159176,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.40386332488084,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.56257590707395,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0608720388034997,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.00025,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.0069375,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.452625,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.238,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0001875,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.9049375,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.2310625,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal B",67952.3709195852,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB",10249.5751174824,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",140296.387370094,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",10.2598349524348,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.0724437774383179,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.330146161459142,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"47","Cod","Average Catch",15386.4771567789,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"48","Cod","Catch IAV",0.193113193915788,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"49","Cod","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"50","Cod","Avg SSB Relative MSE",0.497925690824535,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"51","Cod","Avg terminal SSB Relative MSE",0.12304727446867,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit)",0.013625,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"54","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.02725,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"60","Cod","OM: Terminal B",415276.86867583,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"61","Cod","OM: Terminal SSB",191158.094000566,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"62","Cod","OM: Terminal Dynamic SB0",291661.371742988,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"63","Cod","OM: Terminal SSB Depletion",191.34944344401,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.650101987461564,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"65","Cod","OM: Average SSB Depletion",0.72049891492933,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE",200
