"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",78199.546278806,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.425670858663067,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"3","Pollock","P(Closed)",0.20775,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.608794199796195,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",9546.42598733011,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.1625,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.1470625,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.019875,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.5375,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.3189375,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0336875,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.3904375,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",145.515053062282,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",26.6788999639925,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"16","Pollock","OM: Terminal SSB Depletion",0.026705605569562,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.0128718129010619,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"18","Pollock","OM: Average SSB Depletion",0.333772428572922,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"19","Pollock","OM no F: SSB Collapse",143,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"20","Pollock","OM: SSB Collapse",200,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"22","Arrowtooth flounder","Average Catch",32690.9363221129,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"23","Arrowtooth flounder","Catch IAV",0.0956612699007013,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"24","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"25","Arrowtooth flounder","Avg SSB Relative MSE",0.339884610313825,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
