"","Species","Performance metric","ms_mod_ssp126_OM__ss_run_M_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"1","Pollock","Average Catch",110129.62370094,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"2","Pollock","Catch IAV",0.306942679730878,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"3","Pollock","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"4","Pollock","Avg SSB Relative MSE",0.843108782961376,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"5","Pollock","Avg terminal SSB Relative MSE",0.363957075094714,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"6","Pollock","EM: P(Fy > Flimit)",0.0223870056497175,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"9","Pollock","OM: P(SSB < SSBlimit)",0.000282485875706215,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.044774011299435,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000282485875706215,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"14","Pollock","OM: Terminal B",1410046.50452753,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"15","Pollock","OM: Terminal SSB",395443.42953004,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"16","Pollock","OM: Terminal SSB Depletion",1.57733665867022,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.89544656994189,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"18","Pollock","OM: Average SSB Depletion",2.61105736578627,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"19","Arrowtooth flounder","Average Catch",35473.9316800096,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"20","Arrowtooth flounder","Catch IAV",0.0811507417649368,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.506646712020077,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0019946469249845,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"32","Arrowtooth flounder","OM: Terminal B",1607527.15018161,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"33","Arrowtooth flounder","OM: Terminal SSB",443424.461600427,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
