"","Species","Performance metric","ms_mod_ssp245_OM__ss_run_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"1","Pollock","Average Catch",99311.4114345313,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"2","Pollock","Catch IAV",0.513186906354678,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"3","Pollock","P(Closed)",0.429872881355932,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"4","Pollock","Avg SSB Relative MSE",0.630416565613635,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"5","Pollock","Avg terminal SSB Relative MSE",0.0345336643757948,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"6","Pollock","EM: P(Fy > Flimit)",0.00282485875706215,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"7","Pollock","EM: P(SSB < SSBlimit)",0.352330508474576,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"9","Pollock","OM: P(SSB < SSBlimit)",0.000494350282485876,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00564971751412429,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.35183615819209,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"14","Pollock","OM: Terminal B",1094890.77838737,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"15","Pollock","OM: Terminal SSB",208687.04634007,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"16","Pollock","OM: Terminal SSB Depletion",2.07589238860895,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.29144810232599,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"18","Pollock","OM: Average SSB Depletion",4.27485209517835,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"19","Arrowtooth flounder","Average Catch",34413.8397478965,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"20","Arrowtooth flounder","Catch IAV",0.0906557574291672,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.349759412541769,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.273566659498705,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"32","Arrowtooth flounder","OM: Terminal B",890432.602308824,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"33","Arrowtooth flounder","OM: Terminal SSB",128016.397126151,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",0.590251920861991,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.597345570593982,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",1.62094616247153,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"37","Cod","Average Catch",23854.8888161848,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"38","Cod","Catch IAV",0.296665184835034,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"39","Cod","P(Closed)",0.0105225988700565,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"40","Cod","Avg SSB Relative MSE",0.380801267836608,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"41","Cod","Avg terminal SSB Relative MSE",0.0156049907199357,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"42","Cod","EM: P(Fy > Flimit)",0.00734463276836158,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"43","Cod","EM: P(SSB < SSBlimit)",0.0018361581920904,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"44","Cod","OM: P(Fy > Flimit)",0.211864406779661,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"45","Cod","OM: P(SSB < SSBlimit)",0.0430790960451977,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0103813559322034,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.419420903954802,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0412429378531073,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"50","Cod","OM: Terminal B",391255.540726176,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"51","Cod","OM: Terminal SSB",134553.4872922,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"52","Cod","OM: Terminal SSB Depletion",0.466563962836996,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.459158479000936,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
"54","Cod","OM: Average SSB Depletion",0.49404357650667,"ms_mod_ssp245_OM","ss_run_Tier3_EM","TRUE"
