"","Species","Performance metric","ms_mod_ssp245_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"1","Pollock","Average Catch",132899.203212011,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"2","Pollock","Catch IAV",0.331378883666275,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"3","Pollock","P(Closed)",0.000706214689265537,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"4","Pollock","Avg SSB Relative MSE",0.684669259880337,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"5","Pollock","Avg terminal SSB Relative MSE",0.0366900328367863,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"6","Pollock","EM: P(Fy > Flimit)",0.0216101694915254,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"7","Pollock","EM: P(SSB < SSBlimit)",7.06214689265537e-05,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"9","Pollock","OM: P(SSB < SSBlimit)",0.0555790960451977,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0432203389830508,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.06214689265537e-05,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0555790960451977,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"14","Pollock","OM: Terminal B",944352.169398606,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"15","Pollock","OM: Terminal SSB",147328.981653701,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"16","Pollock","OM: Terminal SSB Depletion",1.46553950999929,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.850391627428725,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"18","Pollock","OM: Average SSB Depletion",3.80325065761619,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"19","Arrowtooth flounder","Average Catch",35100.78738414,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"20","Arrowtooth flounder","Catch IAV",0.0839610328890594,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.351073132336515,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
