"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_cmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"1","Pollock","Average Catch",807054.673286683,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"2","Pollock","Catch IAV",1.41162454565163,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"3","Pollock","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"4","Pollock","Avg SSB Relative MSE",0.918982767309864,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"5","Pollock","Avg terminal SSB Relative MSE",34475745.3674926,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"6","Pollock","EM: P(Fy > Flimit)",0.912923728813559,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"7","Pollock","EM: P(SSB < SSBlimit)",0.177683615819209,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"8","Pollock","OM: P(Fy > Flimit)",0.938629943502825,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00480225988700565,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0305084745762712,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.177683615819209,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"14","Pollock","OM: Terminal B",560972.817720225,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"15","Pollock","OM: Terminal SSB",51560.7808284579,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"16","Pollock","OM: Terminal SSB Depletion",51.6123932216796,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.231478982600059,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"18","Pollock","OM: Average SSB Depletion",0.136734130538515,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"19","Arrowtooth flounder","Average Catch",101870.606322794,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"20","Arrowtooth flounder","Catch IAV",1.42541326711648,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.953602279823292,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",11190425.7824452,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0.625988700564972,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.894209039548023,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9625,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.336511299435028,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.894209039548023,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",176421.269370332,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",977.143394194229,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",0.978121515709939,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.00890090099909006,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.0494624084216772,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"37","Cod","Average Catch",33893.9448683772,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"38","Cod","Catch IAV",0.590879305217998,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"39","Cod","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.72390229907676,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.0312945029997955,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0.962217514124294,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0.00826271186440678,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"44","Cod","OM: P(Fy > Flimit)",0.948375706214689,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0139124293785311,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",7.06214689265537e-05,"ms_mod_ssp585_OM","ms_run_cmsy_EM","FALSE"
