"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",187793.955713242,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"2","Pollock","Catch IAV",0.328390566309882,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"3","Pollock","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"4","Pollock","Avg SSB Relative MSE",0.837539264232333,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"5","Pollock","Avg terminal SSB Relative MSE",15174271315879128,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"6","Pollock","EM: P(Fy > Flimit)",0.53285175879397,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"7","Pollock","EM: P(SSB < SSBlimit)",0.383165829145729,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"8","Pollock","OM: P(Fy > Flimit)",0.567211055276382,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"9","Pollock","OM: P(SSB < SSBlimit)",0.581972361809045,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00646984924623116,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0408291457286432,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000125628140703518,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.19893216080402,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"14","Pollock","OM: Terminal B",759798.766713405,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"15","Pollock","OM: Terminal SSB",93160.5601196852,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"16","Pollock","OM: Terminal SSB Depletion",93.2538139336188,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.275914493999239,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"18","Pollock","OM: Average SSB Depletion",0.318029136435041,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"19","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"20","Pollock","OM: SSB Collapse",199,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"21","Pollock","OM: SSB Collapse FAIL",1,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"22","Arrowtooth flounder","Average Catch",35312.0544605704,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"23","Arrowtooth flounder","Catch IAV",0.0815761730883259,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"24","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"25","Arrowtooth flounder","Avg SSB Relative MSE",0.520158408490362,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"26","Arrowtooth flounder","Avg terminal SSB Relative MSE",3.13823164195989,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"27","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0660175879396985,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.00603015075376884,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"29","Arrowtooth flounder","OM: P(Fy > Flimit)",0.146293969849246,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"30","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.0680904522613065,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"31","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"32","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0802763819095477,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"33","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"34","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0620603015075377,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"35","Arrowtooth flounder","OM: Terminal B",441584.810663906,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"36","Arrowtooth flounder","OM: Terminal SSB",20878.498407258,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"37","Arrowtooth flounder","OM: Terminal SSB Depletion",20.899397805063,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.187653688714664,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.654465817497095,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"41","Arrowtooth flounder","OM: SSB Collapse",3,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",1,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"43","Cod","Average Catch",30033.2842125837,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"44","Cod","Catch IAV",0.385124746582895,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"45","Cod","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"46","Cod","Avg SSB Relative MSE",0.711730910827074,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"47","Cod","Avg terminal SSB Relative MSE",5474.42339252913,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"48","Cod","EM: P(Fy > Flimit)",0.961871859296482,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"49","Cod","EM: P(SSB < SSBlimit)",0.00131909547738693,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"50","Cod","OM: P(Fy > Flimit)",0.94855527638191,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"51","Cod","OM: P(SSB < SSBlimit)",0.904334170854271,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0138190954773869,"ms_mod_ssp585_OM","ms_run_cmsy_EM","TRUE",199
