"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_M_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",78122.0692245582,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.511478728125855,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.418625,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.765385682986228,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.17943996820285,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0034375,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.3748125,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.006875,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.3748125,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",1236689.96801917,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",221919.449393462,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",192427.330501477,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",222.141590984447,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.17973696703699,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",1.34347543711575,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",60310.0533975516,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","FALSE",200
