"","Species","Performance.metric","ms_mod_ricker_OM_ss_run_Tier3_EM","ms_mod_ricker_OM_ss_run_dynamicTier3_EM","ms_mod_ricker_OM_ss_run_M_Tier3_EM","ms_mod_ricker_OM_ss_run_M_dynamicTier3_EM","ms_mod_ricker_OM_ms_run_fb40iter_EM","ms_mod_ricker_OM_ms_run_fb40_EM","ms_mod_ricker_OM_ms_run_cmsy_EM","ms_mod_ricker_OM_ms_run_concmsy_EM"
"1","Pollock","Average Catch","  573","  558","  602","  634","  844","  240","  103","  114"
"2","Pollock","Catch IAV","0.29","0.29","0.26","0.26","0.29","0.84","3.02","2.3"
"3","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0.84","0.94","0.92"
"4","Pollock","OM: Terminal SSB","  715","  644","1,066","1,071","1,385","   41","    0","    0"
"5","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.74","0.64","1.16","1.14","1.51","0.04","0","0"
"6","Cod","Average Catch","   29","   29","   20","   20","   24","   23","   23","   27"
"7","Cod","Catch IAV","0.25","0.2","0.18","0.17","0.15","0.15","0.53","0.28"
"8","Cod","OM: P(SSB < SSBlimit)","0.01","0.01","0","0","0","0","0.78","0.39"
"9","Cod","OM: Terminal SSB","  152","  146","  288","  290","  275","  272","   52","  117"
"10","Cod","OM: Terminal SSB Depletion (Dynamic)","0.39","0.37","0.74","0.74","0.7","0.69","0.13","0.3"
"11","Arrowtooth flounder","Average Catch","   89","   89","   90","   90","   88","   89","   87","   87"
"12","Arrowtooth flounder","Catch IAV","0.15","0.15","0.27","0.27","0.37","0.37","0.49","0.5"
"13","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0.03","0.02","0.23","0.23"
"14","Arrowtooth flounder","OM: Terminal SSB","  319","  314","  262","  246","  182","  186","  143","  142"
"15","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.45","0.44","0.37","0.35","0.26","0.26","0.2","0.2"
