"","Species","Performance metric","MS-OM_Fix M-No cap"
"1","Pollock","Average Catch",2466388.23748789
"2","Pollock","Catch IAV",84168.2826972005
"3","Pollock","% Years closed",0
"4","Pollock","Avg terminal SSB MSE",193234868061.292
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","OM: Terminal SSB/SSBtarget",1.52039988514144
"10","Cod","Average Catch",152008.680094564
"11","Cod","Catch IAV",3561.44766394631
"12","Cod","% Years closed",0
"13","Cod","Avg terminal SSB MSE",30271521.6432068
"14","Cod","EM: P(Fy > Flimit)",0
"15","Cod","EM: P(SSB < SSBlimit)",0
"16","Cod","OM: P(Fy > Flimit)",0
"17","Cod","OM: P(SSB < SSBlimit)",0
"18","Cod","OM: Terminal SSB/SSBtarget",0.666222795811307
"19","Arrowtooth flounder","Average Catch",34391.9086503716
"20","Arrowtooth flounder","Catch IAV",288.137089317081
"21","Arrowtooth flounder","% Years closed",0
"22","Arrowtooth flounder","Avg terminal SSB MSE",7892960.15401869
"23","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"25","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"26","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"27","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.603220533911734
