"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_ATFRdown"
"1","Pollock","Average Catch",138822.373857841
"2","Pollock","Catch IAV",17588.1236997234
"3","Pollock","P(Closed)",0.00722222222222222
"4","Pollock","Avg terminal SSB Relative MSE",0.00987622737387613
"5","Pollock","EM: P(Fy > Flimit)",0.0208730158730159
"6","Pollock","EM: P(SSB < SSBlimit)",0.00544973544973545
"7","Pollock","OM: P(Fy > Flimit)",0.228333333333333
"8","Pollock","OM: P(SSB < SSBlimit)",0.0435714285714286
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000952380952380952
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.208412698412698
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0156349206349206
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.13
"13","Pollock","OM: Terminal SSB/SSBtarget",0.387833422041165
"14","Arrowtooth flounder","Average Catch",88530.0526790099
"15","Arrowtooth flounder","Catch IAV",1882.91760900704
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0122166073820997
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.363017294759688
"27","Cod","Average Catch",13746.6912553059
"28","Cod","Catch IAV",2306.26385695794
"29","Cod","P(Closed)",0.103253968253968
"30","Cod","Avg terminal SSB Relative MSE",0.00705194447106261
"31","Cod","EM: P(Fy > Flimit)",0.000793650793650794
"32","Cod","EM: P(SSB < SSBlimit)",0.0707407407407407
"33","Cod","OM: P(Fy > Flimit)",0.00976190476190476
"34","Cod","OM: P(SSB < SSBlimit)",0.101349206349206
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000793650793650794
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00976190476190476
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.140238095238095
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.232063492063492
"39","Cod","OM: Terminal SSB/SSBtarget",0.40565292924209
