"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch",139363.172156393
"2","Pollock","Catch IAV",17893.2863724716
"3","Pollock","P(Closed)",0.00674603174603175
"4","Pollock","Avg terminal SSB Relative MSE",0.010144354522298
"5","Pollock","EM: P(Fy > Flimit)",0.0223809523809524
"6","Pollock","EM: P(SSB < SSBlimit)",0.00587301587301587
"7","Pollock","OM: P(Fy > Flimit)",0.234761904761905
"8","Pollock","OM: P(SSB < SSBlimit)",0.0478571428571429
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00142857142857143
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.213809523809524
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0166666666666667
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.142619047619048
"13","Pollock","OM: Terminal SSB/SSBtarget",0.386021301015438
"14","Arrowtooth flounder","Average Catch",144632.870244581
"15","Arrowtooth flounder","Catch IAV",1239.78571738705
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0143760968344263
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.570229361996407
"27","Cod","Average Catch",13763.2910337565
"28","Cod","Catch IAV",2265.79200222106
"29","Cod","P(Closed)",0.102301587301587
"30","Cod","Avg terminal SSB Relative MSE",0.00648018988792461
"31","Cod","EM: P(Fy > Flimit)",0.000317460317460317
"32","Cod","EM: P(SSB < SSBlimit)",0.0693650793650794
"33","Cod","OM: P(Fy > Flimit)",0.0073015873015873
"34","Cod","OM: P(SSB < SSBlimit)",0.101031746031746
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000317460317460317
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0073015873015873
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.136507936507936
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.231507936507936
"39","Cod","OM: Terminal SSB/SSBtarget",0.405605010834075
