"","Species","Performance metric","SS_OM__SS_estM_dynamicTier3_EM_ATFRup"
"1","Pollock","Average Catch",164302.115436553
"2","Pollock","Catch IAV",21331.2725174709
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0187002288126727
"5","Pollock","EM: P(Fy > Flimit)",0.0248412698412698
"6","Pollock","EM: P(SSB < SSBlimit)",0.000158730158730159
"7","Pollock","OM: P(Fy > Flimit)",0.326785714285714
"8","Pollock","OM: P(SSB < SSBlimit)",0.00492063492063492
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0157936507936508
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.317738095238095
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00476190476190476
"13","Pollock","OM: Terminal SSB/SSBtarget",0.334326202396358
"14","Arrowtooth flounder","Average Catch",110372.953551288
"15","Arrowtooth flounder","Catch IAV",1405.54526788084
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00329205452223552
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0382539682539683
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0382539682539683
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.555799697514363
"27","Cod","Average Catch",25997.8108280045
"28","Cod","Catch IAV",6444.62841163083
"29","Cod","P(Closed)",7.93650793650794e-05
"30","Cod","Avg terminal SSB Relative MSE",0.0215678130675318
"31","Cod","EM: P(Fy > Flimit)",0.00238095238095238
"32","Cod","EM: P(SSB < SSBlimit)",7.93650793650794e-05
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00238095238095238
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.93650793650794e-05
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB/SSBtarget",0.463551442411043
