"","Species","Performance metric","MS_OM__SS_estM_Tier3_EM_AllDown"
"1","Pollock","Average Catch",405408.458309863
"2","Pollock","Catch IAV",56719.3957386777
"3","Pollock","P(Closed)",0.00507936507936508
"4","Pollock","Avg terminal SSB Relative MSE",0.0727553470358395
"5","Pollock","EM: P(Fy > Flimit)",0.00238095238095238
"6","Pollock","EM: P(SSB < SSBlimit)",0.00380952380952381
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.552698412698413
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00238095238095238
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.548888888888889
"13","Pollock","OM: Terminal SSB/SSBtarget",0.594729916119394
"14","Arrowtooth flounder","Average Catch",90741.2842723148
"15","Arrowtooth flounder","Catch IAV",1621.23959666839
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0146102619205405
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.394898391731708
"27","Cod","Average Catch",18169.8932694843
"28","Cod","Catch IAV",4287.74666730924
"29","Cod","P(Closed)",0.0363492063492063
"30","Cod","Avg terminal SSB Relative MSE",0.010868898844976
"31","Cod","EM: P(Fy > Flimit)",0.000714285714285714
"32","Cod","EM: P(SSB < SSBlimit)",0.0507142857142857
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.0757936507936508
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000714285714285714
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00238095238095238
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0274603174603175
"39","Cod","OM: Terminal SSB/SSBtarget",0.42123487397765
