"","Species","Performance metric","MS_OM__SS_estM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",466858.124058717
"2","Pollock","Catch IAV",66403.8375397657
"3","Pollock","P(Closed)",0.00380952380952381
"4","Pollock","Avg terminal SSB Relative MSE",0.0652443794099136
"5","Pollock","EM: P(Fy > Flimit)",0.00515873015873016
"6","Pollock","EM: P(SSB < SSBlimit)",0.00373015873015873
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0156349206349206
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00515873015873016
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000476190476190476
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0123809523809524
"13","Pollock","OM: Terminal SSB/SSBtarget",0.642614720220278
"14","Arrowtooth flounder","Average Catch",109683.725290176
"15","Arrowtooth flounder","Catch IAV",1320.86722692358
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0161370174463672
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",NA
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",NA
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.464834607969292
"27","Cod","Average Catch",22667.4589778138
"28","Cod","Catch IAV",4361.25492781081
"29","Cod","P(Closed)",0.0347619047619048
"30","Cod","Avg terminal SSB Relative MSE",0.00878154453277972
"31","Cod","EM: P(Fy > Flimit)",0.00111111111111111
"32","Cod","EM: P(SSB < SSBlimit)",0.0480952380952381
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",NA
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00111111111111111
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",NA
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",NA
"39","Cod","OM: Terminal SSB/SSBtarget",0.503907088743404
