"","Species","Performance metric","SS-Est M-OM_Est M-No cap"
"1","Pollock","Average Catch",134292.230961815
"2","Pollock","Catch IAV",17090.8312134291
"3","Pollock","% Years closed",0.415721844293273
"4","Pollock","Avg terminal SSB MSE",758413230.070083
"5","Pollock","EM: P(Fy > Flimit)",0.000377928949357521
"6","Pollock","EM: P(SSB < SSBlimit)",0.00201562106324011
"7","Pollock","OM: P(Fy > Flimit)",0.0238095238095238
"8","Pollock","OM: P(SSB < SSBlimit)",0.0158730158730159
"9","Pollock","OM: Terminal SSB/SSBtarget",0.426963506468776
"10","Arrowtooth flounder","Average Catch",97138.3138852028
"11","Arrowtooth flounder","Catch IAV",381.916392465733
"12","Arrowtooth flounder","% Years closed",0
"13","Arrowtooth flounder","Avg terminal SSB MSE",18261575182.0491
"14","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"15","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"16","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"17","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"18","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.479136879326073
"19","Cod","Average Catch",20217.5580602737
"20","Cod","Catch IAV",14139.6568745132
"21","Cod","% Years closed",6.76492819349962
"22","Cod","Avg terminal SSB MSE",624165729.44835
"23","Cod","EM: P(Fy > Flimit)",0.119047619047619
"24","Cod","EM: P(SSB < SSBlimit)",0.0697998776230069
"25","Cod","OM: P(Fy > Flimit)",0.630763416477702
"26","Cod","OM: P(SSB < SSBlimit)",0.509826152683296
"27","Cod","OM: Terminal SSB/SSBtarget",0.198524371017237
