"","Species","Performance metric","SSM_OM__SS_fixM_dynamicCat1_EM"
"1","Pollock","Average Catch",114295.376121486
"2","Pollock","Catch IAV",7689.91377284635
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.02566319701066
"5","Pollock","EM: P(Fy > Flimit)",0.000119047619047619
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.180952380952381
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",5.95238095238095e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.180892857142857
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.478908807068037
"14","Arrowtooth flounder","Average Catch",74265.163566556
"15","Arrowtooth flounder","Catch IAV",160.320924018583
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.119304820264306
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.591232158282122
"27","Cod","Average Catch",19286.5304803936
"28","Cod","Catch IAV",4454.96065014496
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.137480650482897
"31","Cod","EM: P(Fy > Flimit)",0.352261904761905
"32","Cod","EM: P(SSB < SSBlimit)",0
"33","Cod","OM: P(Fy > Flimit)",0.80952380952381
"34","Cod","OM: P(SSB < SSBlimit)",0.0577380952380952
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0855952380952381
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.542857142857143
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0577380952380952
"39","Cod","OM: Terminal SSB/SSBtarget",0.22875062164566
