"","Species","Performance metric","SS_OM__SS_estM_dynamicCat1_EM"
"1","Pollock","Average Catch",150701.166181253
"2","Pollock","Catch IAV",13580.742497186
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0747548378984907
"5","Pollock","EM: P(Fy > Flimit)",0.00547619047619048
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.564821428571429
"8","Pollock","OM: P(SSB < SSBlimit)",0.00142857142857143
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00220238095238095
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.561547619047619
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00142857142857143
"13","Pollock","OM: Terminal SSB/SSBtarget",0.375579338902386
"14","Arrowtooth flounder","Average Catch",68462.657674079
"15","Arrowtooth flounder","Catch IAV",562.749811683432
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000343258610251056
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0238095238095238
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0238095238095238
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.52755187929782
"27","Cod","Average Catch",19971.2259185866
"28","Cod","Catch IAV",3253.33920903983
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0703954022895624
"31","Cod","EM: P(Fy > Flimit)",0.0532142857142857
"32","Cod","EM: P(SSB < SSBlimit)",0
"33","Cod","OM: P(Fy > Flimit)",0.0238095238095238
"34","Cod","OM: P(SSB < SSBlimit)",0
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0523809523809524
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0229761904761905
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB/SSBtarget",0.558225089737124
