"","Species","Performance metric","SS_OM__SS_estM_Cat1_EM_AllDown"
"1","Pollock","Average Catch",1695658.74816441
"2","Pollock","Catch IAV",66895.3947591258
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0163184882724916
"5","Pollock","EM: P(Fy > Flimit)",0.00302325581395349
"6","Pollock","EM: P(SSB < SSBlimit)",0.073953488372093
"7","Pollock","OM: P(Fy > Flimit)",0.937751937984496
"8","Pollock","OM: P(SSB < SSBlimit)",0.264186046511628
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.934728682170543
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000775193798449612
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.191007751937984
"13","Pollock","OM: Terminal SSB Depletion",0.349056257717155
"14","Cod","Average Catch",101400.393055206
"15","Cod","Catch IAV",1343.28110033586
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.00051994490345869
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0.0048062015503876
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0.0281395348837209
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000775193798449612
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0241085271317829
"26","Cod","OM: Terminal SSB Depletion",0.448110652044124
"27","Arrowtooth flounder","Average Catch",30157.1874641046
"28","Arrowtooth flounder","Catch IAV",386.783128873319
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000253116634283186
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.338598480908904
