"","Species","Performance metric","SS_OM__SS_estM_Tier3_EM_AllDown"
"1","Pollock","Average Catch",1828541.43035921
"2","Pollock","Catch IAV",345417.122713753
"3","Pollock","P(Closed)",0.0110077519379845
"4","Pollock","Avg terminal SSB Relative MSE",0.0141781860886814
"5","Pollock","EM: P(Fy > Flimit)",0.0244961240310078
"6","Pollock","EM: P(SSB < SSBlimit)",0.00062015503875969
"7","Pollock","OM: P(Fy > Flimit)",0.985271317829457
"8","Pollock","OM: P(SSB < SSBlimit)",0.0529457364341085
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.96077519379845
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0523255813953488
"13","Pollock","OM: Terminal SSB Depletion",0.303144006097909
"14","Cod","Average Catch",114060.044179087
"15","Cod","Catch IAV",3422.12896779922
"16","Cod","P(Closed)",0.000697674418604651
"17","Cod","Avg terminal SSB Relative MSE",0.000541143850266803
"18","Cod","EM: P(Fy > Flimit)",0.000697674418604651
"19","Cod","EM: P(SSB < SSBlimit)",7.75193798449612e-05
"20","Cod","OM: P(Fy > Flimit)",0.0954263565891473
"21","Cod","OM: P(SSB < SSBlimit)",0.000387596899224806
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0947286821705426
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.75193798449612e-05
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000387596899224806
"26","Cod","OM: Terminal SSB Depletion",0.386840480855949
"27","Arrowtooth flounder","Average Catch",27414.0499680309
"28","Arrowtooth flounder","Catch IAV",323.575116246695
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00020358959581442
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0.372480620155039
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.372480620155039
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.393863859013521
