"","Species","Performance metric","SSM_OM__SS_fixM_dynamicCat1_EM_ATFRdown"
"1","Pollock","Average Catch",114925.506173215
"2","Pollock","Catch IAV",8074.38104479858
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0264694920109896
"5","Pollock","EM: P(Fy > Flimit)",0.000158730158730159
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.128888888888889
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.128730158730159
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",0.476822690262948
"14","Arrowtooth flounder","Average Catch",93094.9437820591
"15","Arrowtooth flounder","Catch IAV",1227.34071832469
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.143899062514112
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.417413937017046
"27","Cod","Average Catch",19350.4889469269
"28","Cod","Catch IAV",4418.83437795046
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.137804360271548
"31","Cod","EM: P(Fy > Flimit)",0.35031746031746
"32","Cod","EM: P(SSB < SSBlimit)",0.0499206349206349
"33","Cod","OM: P(Fy > Flimit)",0.999920634920635
"34","Cod","OM: P(SSB < SSBlimit)",0.508888888888889
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.649603174603175
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.458968253968254
"39","Cod","OM: Terminal SSB Depletion",0.245576653155031
