"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",7,9,7,9,7,39,129
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,135
"3",NA,NA,"HCR 2a (PFMC)",9,9,9,9,9,45,129
"4",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,9,9,9,45,129
"5",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,137
"6",NA,NA,"HCR 3b (Dynamic SESSF)",11,9,9,10,11,50,146
"7",NA,NA,"HCR 4 (NEFMC)",9,9,6,9,6,39,121
"8",NA,NA,"HCR 5 (Avg F)",9,11,11,9,7,47,148
"9",NA,"Est M","HCR 1a (NPFMC)",7,7,7,7,7,35,119
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",7,7,7,7,7,35,125
"11",NA,NA,"HCR 2a (PFMC)",10,10,10,9,9,48,126
"12",NA,NA,"HCR 2b (Dynamic PFMC)",10,10,10,11,11,52,133
"13",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,135
"14",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,135
"15",NA,NA,"HCR 4 (NEFMC)",9,9,6,9,6,39,116
"16",NA,NA,"HCR 5 (Avg F)",9,9,9,10,9,46,140
"17","SS est M","Fix M","HCR 1a (NPFMC)",9,9,9,9,9,45,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"19",NA,NA,"HCR 2a (PFMC)",9,9,9,9,9,45,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,9,9,9,45,NA
"21",NA,NA,"HCR 3a (SESSF)",10,9,9,9,9,46,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",11,9,9,10,11,50,NA
"23",NA,NA,"HCR 4 (NEFMC)",9,9,7,9,7,41,NA
"24",NA,NA,"HCR 5 (Avg F)",9,12,12,10,10,53,NA
"25",NA,"Est M","HCR 1a (NPFMC)",7,9,7,9,7,39,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"27",NA,NA,"HCR 2a (PFMC)",7,8,5,8,5,33,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",8,7,8,7,8,38,NA
"29",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"31",NA,NA,"HCR 4 (NEFMC)",6,9,6,9,6,36,NA
"32",NA,NA,"HCR 5 (Avg F)",7,9,9,10,9,44,NA
"33","MS","Fix M","HCR 1a (NPFMC)",9,9,9,9,9,45,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"35",NA,NA,"HCR 2a (PFMC)",7,9,7,9,7,39,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",7,9,7,9,7,39,NA
"37",NA,NA,"HCR 3a (SESSF)",10,9,9,9,9,46,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",10,9,9,9,9,46,NA
"39",NA,NA,"HCR 4 (NEFMC)",9,9,7,9,7,41,NA
"40",NA,NA,"HCR 5 (Avg F)",9,10,9,10,10,48,NA
"41",NA,"Est M","HCR 1a (NPFMC)",9,9,9,9,9,45,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"43",NA,NA,"HCR 2a (PFMC)",8,10,7,11,9,45,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",8,10,9,9,7,43,NA
"45",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"47",NA,NA,"HCR 4 (NEFMC)",9,9,7,9,7,41,NA
"48",NA,NA,"HCR 5 (Avg F)",9,10,11,10,10,50,NA
