"","Species","Performance metric","SS_OM__SS_estM_Fspr_EM_ATFRdown"
"1","Pollock","Average Catch",2390200.21730608
"2","Pollock","Catch IAV",147469.141231291
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0113428807354332
"5","Pollock","EM: P(Fy > Flimit)",0.0168992248062016
"6","Pollock","EM: P(SSB < SSBlimit)",0.0248062015503876
"7","Pollock","OM: P(Fy > Flimit)",0.0544186046511628
"8","Pollock","OM: P(SSB < SSBlimit)",0.0643410852713178
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0375193798449612
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0027906976744186
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0423255813953488
"13","Pollock","OM: Terminal SSB/SSBtarget",0.328979102033679
"14","Cod","Average Catch",151611.997591552
"15","Cod","Catch IAV",2270.06412845371
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000585025804077446
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",NA
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0.000775193798449612
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",NA
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",NA
"26","Cod","OM: Terminal SSB/SSBtarget",0.368815745449273
"27","Arrowtooth flounder","Average Catch",28435.2832862807
"28","Arrowtooth flounder","Catch IAV",257.922888706801
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000223036082554624
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",NA
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.0108527131782946
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",NA
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",NA
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.349044454867903
