"","Species","Performance metric","SSM_OM__SS_fixM_Cat1_EM_ATFRup"
"1","Pollock","Average Catch",2008635.57036039
"2","Pollock","Catch IAV",27276.5190483038
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.10250270978401
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.000465116279069767
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000465116279069767
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",0.701900388741724
"14","Cod","Average Catch",123299.100141657
"15","Cod","Catch IAV",1199.27683625694
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.00045257399118062
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0.000387596899224806
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000387596899224806
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB Depletion",0.553864875556214
"27","Arrowtooth flounder","Average Catch",56326.2694916413
"28","Arrowtooth flounder","Catch IAV",563.876667448234
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00246370729521692
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.696321696837821
