"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_AllDown"
"1","Pollock","Average Catch",2954712.14490508
"2","Pollock","Catch IAV",444042.555389706
"3","Pollock","P(Closed)",0.0175968992248062
"4","Pollock","Avg terminal SSB Relative MSE",0.000911812482496586
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.00162790697674419
"7","Pollock","OM: P(Fy > Flimit)",0.0437209302325581
"8","Pollock","OM: P(SSB < SSBlimit)",0.0213178294573643
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0437209302325581
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0196899224806202
"13","Pollock","OM: Terminal SSB Depletion",0.347616512809493
"14","Cod","Average Catch",110431.362772039
"15","Cod","Catch IAV",2877.16749607791
"16","Cod","P(Closed)",0.000465116279069767
"17","Cod","Avg terminal SSB Relative MSE",0.000480900835623106
"18","Cod","EM: P(Fy > Flimit)",0.000542635658914729
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0.0176744186046512
"21","Cod","OM: P(SSB < SSBlimit)",0.000155038759689922
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0171317829457364
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000155038759689922
"26","Cod","OM: Terminal SSB Depletion",0.402425422644584
"27","Arrowtooth flounder","Average Catch",37957.6156330999
"28","Arrowtooth flounder","Catch IAV",881.107930999734
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000407774845961754
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0561240310077519
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0561240310077519
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.376561446921606
