"","Species","Performance metric","SSM_OM__SS_fixM_Tier3_EM_AllDown"
"1","Pollock","Average Catch",1894717.2431193
"2","Pollock","Catch IAV",68068.3320219392
"3","Pollock","P(Closed)",0.00317829457364341
"4","Pollock","Avg terminal SSB Relative MSE",0.0855509817615224
"5","Pollock","EM: P(Fy > Flimit)",7.75193798449612e-05
"6","Pollock","EM: P(SSB < SSBlimit)",0.000155038759689922
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.75193798449612e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000155038759689922
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.487885451379851
"14","Cod","Average Catch",112009.698170379
"15","Cod","Catch IAV",3005.45532918132
"16","Cod","P(Closed)",0.000232558139534884
"17","Cod","Avg terminal SSB Relative MSE",0.000494536637551265
"18","Cod","EM: P(Fy > Flimit)",0.000232558139534884
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0.000232558139534884
"21","Cod","OM: P(SSB < SSBlimit)",0.000155038759689922
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000155038759689922
"26","Cod","OM: Terminal SSB/SSBtarget",0.32944812077478
"27","Arrowtooth flounder","Average Catch",30720.3914212156
"28","Arrowtooth flounder","Catch IAV",327.122934582155
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00240448558291435
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.452344844353728
