"","Species","Performance metric","MS_OM__SS_estM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",3408593.10109652
"2","Pollock","Catch IAV",403212.335635468
"3","Pollock","P(Closed)",0.0158139534883721
"4","Pollock","Avg terminal SSB Relative MSE",0.0121348118543986
"5","Pollock","EM: P(Fy > Flimit)",0.0234108527131783
"6","Pollock","EM: P(SSB < SSBlimit)",0.0075968992248062
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.000775193798449612
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0234108527131783
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00682170542635659
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",0.89281749524871
"14","Cod","Average Catch",155445.614475629
"15","Cod","Catch IAV",3199.85653091021
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000484963105349914
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB Depletion",0.663593061300288
"27","Arrowtooth flounder","Average Catch",50311.6101463082
"28","Arrowtooth flounder","Catch IAV",817.937191416378
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000538714508994316
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.000697674418604651
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000697674418604651
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.456058644459101
