"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",3277935.49341317
"2","Pollock","Catch IAV",260977.238653752
"3","Pollock","P(Closed)",0.00248062015503876
"4","Pollock","Avg terminal SSB Relative MSE",0.000582796144553552
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.000310077519379845
"7","Pollock","OM: P(Fy > Flimit)",0.798139534883721
"8","Pollock","OM: P(SSB < SSBlimit)",1
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.798139534883721
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.99968992248062
"13","Pollock","OM: Terminal SSB Depletion",0.433244446406098
"14","Cod","Average Catch",143598.661836521
"15","Cod","Catch IAV",2679.91599846489
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000528545962579142
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",1
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",1
"26","Cod","OM: Terminal SSB Depletion",0.400983129877599
"27","Arrowtooth flounder","Average Catch",47154.6221323596
"28","Arrowtooth flounder","Catch IAV",797.76879333077
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000392066523162292
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0.943410852713178
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",1
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.943410852713178
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",1
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.422206322398375
