"","Species","Performance metric","SS_Ricker_OM__SS_estM_Cat1_EM_ConstantR"
"1","Pollock","Average Catch",2917802.43856914
"2","Pollock","Catch IAV",191051.0641889
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0110877756054079
"5","Pollock","EM: P(Fy > Flimit)",0.0934883720930233
"6","Pollock","EM: P(SSB < SSBlimit)",0.0478294573643411
"7","Pollock","OM: P(Fy > Flimit)",0.95093023255814
"8","Pollock","OM: P(SSB < SSBlimit)",0.00193798449612403
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.857441860465116
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0458914728682171
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",0.761785435844606
"14","Cod","Average Catch",162441.868566513
"15","Cod","Catch IAV",2298.13975108848
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000492618321017613
"18","Cod","EM: P(Fy > Flimit)",0.0195348837209302
"19","Cod","EM: P(SSB < SSBlimit)",0.000930232558139535
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0195348837209302
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000930232558139535
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB Depletion",0.71991401189307
"27","Arrowtooth flounder","Average Catch",48375.7492438023
"28","Arrowtooth flounder","Catch IAV",227.254327684606
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0002451399669881
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.586585382674193
