"","Species","Performance metric","MS_OM__SS_estM_Fspr_EM"
"1","Pollock","Average Catch",2787632.23831479
"2","Pollock","Catch IAV",0.205009497654591
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB Relative MSE",0.539881198900913
"5","Pollock","Avg terminal SSB Relative MSE",0.0286349989068948
"6","Pollock","EM: P(Fy > Flimit)",0
"7","Pollock","EM: P(SSB < SSBlimit)",0.000465116279069767
"8","Pollock","OM: P(Fy > Flimit)",0
"9","Pollock","OM: P(SSB < SSBlimit)",0
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000465116279069767
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"14","Pollock","OM: Terminal B",20956513.6590638
"15","Pollock","OM: Terminal SSB",4663794.91801643
"16","Pollock","OM: Terminal SSB Depletion",0.985611774094443
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.878272772661071
"18","Pollock","OM: Average SSB Depletion",0.954826113100288
"19","Cod","Average Catch",119996.111384269
"20","Cod","Catch IAV",0.0902321543492074
"21","Cod","P(Closed)",0
"22","Cod","Avg SSB Relative MSE",0.57081532914605
"23","Cod","Avg terminal SSB Relative MSE",0.000200400595285858
"24","Cod","EM: P(Fy > Flimit)",0
"25","Cod","EM: P(SSB < SSBlimit)",0
"26","Cod","OM: P(Fy > Flimit)",0
"27","Cod","OM: P(SSB < SSBlimit)",0
"28","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"29","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"30","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"31","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"32","Cod","OM: Terminal B",1425879.96063029
"33","Cod","OM: Terminal SSB",353111.729237994
"34","Cod","OM: Terminal SSB Depletion",0.871667150190688
"35","Cod","OM: Terminal SSB Depletion (Dynamic)",0.824138534613288
"36","Cod","OM: Average SSB Depletion",0.821439045003174
"37","Arrowtooth flounder","Average Catch",39110.3170691474
"38","Arrowtooth flounder","Catch IAV",0.0719934098326828
"39","Arrowtooth flounder","P(Closed)",0
"40","Arrowtooth flounder","Avg SSB Relative MSE",0.299240732131329
"41","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000258167452597624
"42","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"44","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"45","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"46","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"47","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"48","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"49","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: Terminal B",462547.481436145
"51","Arrowtooth flounder","OM: Terminal SSB",207622.990689515
"52","Arrowtooth flounder","OM: Terminal SSB Depletion",0.586669774793967
"53","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.58068277152369
"54","Arrowtooth flounder","OM: Average SSB Depletion",0.592994045437163
