"","X","Species","Performance.metric","MS_OM__SS_estM_dynamicCat1_EM_ConstantR"
"1",1,"Pollock","Average Catch",3357306.53088149
"2",2,"Pollock","Catch IAV",247317.661889986
"3",3,"Pollock","P(Closed)",0
"4",4,"Pollock","Avg terminal SSB Relative MSE",0.0144675198060632
"5",5,"Pollock","EM: P(Fy > Flimit)",0.131860465116279
"6",6,"Pollock","EM: P(SSB < SSBlimit)",0.0135658914728682
"7",7,"Pollock","OM: P(Fy > Flimit)",0
"8",8,"Pollock","OM: P(SSB < SSBlimit)",0.000232558139534884
"9",9,"Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.131860465116279
"10",10,"Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11",11,"Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0133333333333333
"12",12,"Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13",13,"Pollock","OM: Terminal SSB Depletion",0.901991282285816
"14",14,"Cod","Average Catch",148324.960294033
"15",15,"Cod","Catch IAV",1706.94069781125
"16",16,"Cod","P(Closed)",0
"17",17,"Cod","Avg terminal SSB Relative MSE",0.000479679121844162
"18",18,"Cod","EM: P(Fy > Flimit)",0.0212403100775194
"19",19,"Cod","EM: P(SSB < SSBlimit)",0
"20",20,"Cod","OM: P(Fy > Flimit)",0
"21",21,"Cod","OM: P(SSB < SSBlimit)",0
"22",22,"Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0212403100775194
"23",23,"Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24",24,"Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25",25,"Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26",26,"Cod","OM: Terminal SSB Depletion",0.699721753103787
"27",27,"Arrowtooth flounder","Average Catch",52723.0197545312
"28",28,"Arrowtooth flounder","Catch IAV",795.059648213497
"29",29,"Arrowtooth flounder","P(Closed)",0
"30",30,"Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000695591528017591
"31",31,"Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32",32,"Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33",33,"Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34",34,"Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.00604651162790698
"35",35,"Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36",36,"Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37",37,"Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38",38,"Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00604651162790698
"39",39,"Arrowtooth flounder","OM: Terminal SSB Depletion",0.421267067371231
