"","Species","Performance metric","MS_Ricker_OM__SS_estM_dynamicTier3_EM"
"1","Pollock","Average Catch",5999124.16745475
"2","Pollock","Catch IAV",1160200.88830422
"3","Pollock","P(Closed)",0.0269767441860465
"4","Pollock","Avg terminal SSB Relative MSE",0.00488238985399224
"5","Pollock","EM: P(Fy > Flimit)",0.0424806201550388
"6","Pollock","EM: P(SSB < SSBlimit)",0.0151937984496124
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0124031007751938
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0849612403100775
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00837209302325581
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00558139534883721
"13","Pollock","OM: Terminal SSB Depletion",0.798145703052646
"14","Cod","Average Catch",198350.342260653
"15","Cod","Catch IAV",3143.25831856023
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000646746335044128
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB Depletion",0.680264597928392
"27","Arrowtooth flounder","Average Catch",73838.1327293773
"28","Arrowtooth flounder","Catch IAV",671.463819533763
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000602684659838491
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.609509064454892
