"","Species","Performance metric","SSM_OM__SS_estM_Fspr_EM"
"1","Pollock","Average Catch",2818020.31973135
"2","Pollock","Catch IAV",0.163340053346286
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.000862199951417455
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",7.75193798449612e-05
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.000697674418604651
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00062015503875969
"13","Pollock","OM: Terminal B",22546799.1852661
"14","Pollock","OM: Terminal SSB",5286082.59708104
"15","Pollock","OM: Terminal SSB Depletion",0.805773837103612
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.506945222880024
"17","Cod","Average Catch",115527.758749889
"18","Cod","Catch IAV",0.0841940641595524
"19","Cod","P(Closed)",0
"20","Cod","Avg terminal SSB Relative MSE",0.000202028651835538
"21","Cod","EM: P(Fy > Flimit)",0
"22","Cod","EM: P(SSB < SSBlimit)",0
"23","Cod","OM: P(Fy > Flimit)",0
"24","Cod","OM: P(SSB < SSBlimit)",0
"25","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"26","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Cod","OM: Terminal B",1379483.78445153
"30","Cod","OM: Terminal SSB",343155.876511329
"31","Cod","OM: Terminal SSB Depletion",0.750293674815626
"32","Cod","OM: Terminal SSB Depletion (Dynamic)",0.545898969475652
"33","Arrowtooth flounder","Average Catch",37366.957452762
"34","Arrowtooth flounder","Catch IAV",0.0721325768443379
"35","Arrowtooth flounder","P(Closed)",0
"36","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000234279872229132
"37","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"38","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"40","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"41","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"44","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"45","Arrowtooth flounder","OM: Terminal B",439170.643345982
"46","Arrowtooth flounder","OM: Terminal SSB",200522.097502005
"47","Arrowtooth flounder","OM: Terminal SSB Depletion",0.853249193058049
"48","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.539431435664003
