"","Species","Performance metric","SSM_OM__SS_fixM_Fspr_EM"
"1","Pollock","Average Catch",1843961.30010696
"2","Pollock","Catch IAV",0.106390840239268
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB relative bias",-0.804764722692053
"5","Pollock","Avg terminal SSB relative bias",-0.27983759025745
"6","Pollock","Avg SSB Relative MSE",0.805280180025187
"7","Pollock","Avg terminal SSB Relative MSE",0.280624845026395
"8","Pollock","EM: P(Fy > Flimit)",0
"9","Pollock","EM: P(SSB < SSBlimit)",0
"10","Pollock","OM: P(Fy > Flimit)",0
"11","Pollock","OM: P(SSB < SSBlimit)",0
"12","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"13","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"14","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"15","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"16","Pollock","OM: Terminal B",26256486.6593687
"17","Pollock","OM: Terminal SSB",6992393.15483852
"18","Pollock","OM: Terminal SSB Depletion",0.681568579342086
"19","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.673176373825991
"20","Pollock","OM: Average SSB Depletion",0.669239676888251
"21","Cod","Average Catch",119385.120481287
"22","Cod","Catch IAV",0.0844601721623288
"23","Cod","P(Closed)",0
"24","Cod","Avg SSB relative bias",-0.760418828731415
"25","Cod","Avg terminal SSB relative bias",-0.0145897908577239
"26","Cod","Avg SSB Relative MSE",0.76086488910823
"27","Cod","Avg terminal SSB Relative MSE",0.0202969086781784
"28","Cod","EM: P(Fy > Flimit)",0
"29","Cod","EM: P(SSB < SSBlimit)",0
"30","Cod","OM: P(Fy > Flimit)",0
"31","Cod","OM: P(SSB < SSBlimit)",0
"32","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"33","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"34","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"35","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"36","Cod","OM: Terminal B",1355037.83155046
"37","Cod","OM: Terminal SSB",332114.161728294
"38","Cod","OM: Terminal SSB Depletion",0.531008683412451
"39","Cod","OM: Terminal SSB Depletion (Dynamic)",0.528278146305561
"40","Cod","OM: Average SSB Depletion",0.499503736852802
"41","Arrowtooth flounder","Average Catch",27396.0997532863
"42","Arrowtooth flounder","Catch IAV",0.0684315290498209
"43","Arrowtooth flounder","P(Closed)",0
"44","Arrowtooth flounder","Avg SSB relative bias",-0.442214777664241
"45","Arrowtooth flounder","Avg terminal SSB relative bias",0.114411235231556
"46","Arrowtooth flounder","Avg SSB Relative MSE",0.444781324726761
"47","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.117500557737919
"48","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"49","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"51","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"52","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"53","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"54","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"55","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"56","Arrowtooth flounder","OM: Terminal B",498501.241296867
"57","Arrowtooth flounder","OM: Terminal SSB",247723.574916539
"58","Arrowtooth flounder","OM: Terminal SSB Depletion",0.669582496485045
"59","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.666792317484099
"60","Arrowtooth flounder","OM: Average SSB Depletion",0.668274594258296
