"","Species","Performance metric","SSM_OM__SS_fixM_dynamicTier1_EM"
"1","Pollock","Average Catch",2051593.93231423
"2","Pollock","Catch IAV",0.116692370760854
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.075501156664438
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal B",25414913.1058978
"14","Pollock","OM: Terminal SSB",6599422.67100463
"15","Pollock","OM: Terminal SSB Depletion",1.00597030610539
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.634888738033688
"17","Cod","Average Catch",132790.368216241
"18","Cod","Catch IAV",0.0927499575995289
"19","Cod","P(Closed)",0
"20","Cod","Avg terminal SSB Relative MSE",0.000354480686441753
"21","Cod","EM: P(Fy > Flimit)",0
"22","Cod","EM: P(SSB < SSBlimit)",0
"23","Cod","OM: P(Fy > Flimit)",0
"24","Cod","OM: P(SSB < SSBlimit)",0
"25","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"26","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Cod","OM: Terminal B",1263608.91405339
"30","Cod","OM: Terminal SSB",291342.887787558
"31","Cod","OM: Terminal SSB Depletion",0.637007088824564
"32","Cod","OM: Terminal SSB Depletion (Dynamic)",0.463293585981429
"33","Arrowtooth flounder","Average Catch",32997.5348433206
"34","Arrowtooth flounder","Catch IAV",0.0759007337814
"35","Arrowtooth flounder","P(Closed)",0
"36","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0104935073679982
"37","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"38","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"40","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"41","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"44","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"45","Arrowtooth flounder","OM: Terminal B",465282.417053585
"46","Arrowtooth flounder","OM: Terminal SSB",221136.5117825
"47","Arrowtooth flounder","OM: Terminal SSB Depletion",0.94096637021365
"48","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.5951001547758
