"","Species","Performance metric","SSM_Ricker_OM__SS_estM_Fspr_EM"
"1","Pollock","Average Catch",3408685.43788776
"2","Pollock","Catch IAV",0.207807369127394
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB relative bias",-0.75663990283148
"5","Pollock","Avg terminal SSB relative bias",-0.0031562670833296
"6","Pollock","Avg SSB Relative MSE",0.758832717818199
"7","Pollock","Avg terminal SSB Relative MSE",0.0292584324219243
"8","Pollock","EM: P(Fy > Flimit)",0
"9","Pollock","EM: P(SSB < SSBlimit)",0.00232558139534884
"10","Pollock","OM: P(Fy > Flimit)",0
"11","Pollock","OM: P(SSB < SSBlimit)",0.00178294573643411
"12","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"13","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"14","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000775193798449612
"15","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000232558139534884
"16","Pollock","OM: Terminal B",27199822.8627545
"17","Pollock","OM: Terminal SSB",6445548.75235398
"18","Pollock","OM: Terminal SSB Depletion",0.90607910127075
"19","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.741132997496766
"20","Pollock","OM: Average SSB Depletion",0.894381436630685
"21","Cod","Average Catch",149671.461545537
"22","Cod","Catch IAV",0.110077585182312
"23","Cod","P(Closed)",0
"24","Cod","Avg SSB relative bias",-0.807391512947647
"25","Cod","Avg terminal SSB relative bias",0.00228668774527659
"26","Cod","Avg SSB Relative MSE",0.807906561060715
"27","Cod","Avg terminal SSB Relative MSE",0.0177823667133236
"28","Cod","EM: P(Fy > Flimit)",0
"29","Cod","EM: P(SSB < SSBlimit)",0
"30","Cod","OM: P(Fy > Flimit)",0
"31","Cod","OM: P(SSB < SSBlimit)",0
"32","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"33","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"34","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"35","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"36","Cod","OM: Terminal B",1632924.10860293
"37","Cod","OM: Terminal SSB",314630.023915272
"38","Cod","OM: Terminal SSB Depletion",0.825023083795974
"39","Cod","OM: Terminal SSB Depletion (Dynamic)",0.738822571542031
"40","Cod","OM: Average SSB Depletion",0.790245841074488
"41","Arrowtooth flounder","Average Catch",55533.865803725
"42","Arrowtooth flounder","Catch IAV",0.0690463162385016
"43","Arrowtooth flounder","P(Closed)",0
"44","Arrowtooth flounder","Avg SSB relative bias",-0.548493294780327
"45","Arrowtooth flounder","Avg terminal SSB relative bias",0.00210140524645942
"46","Arrowtooth flounder","Avg SSB Relative MSE",0.550177044737586
"47","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0143353808816343
"48","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"49","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"51","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"52","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"53","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"54","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"55","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"56","Arrowtooth flounder","OM: Terminal B",708402.337464758
"57","Arrowtooth flounder","OM: Terminal SSB",323964.789572333
"58","Arrowtooth flounder","OM: Terminal SSB Depletion",0.856185354949664
"59","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.619047015687257
"60","Arrowtooth flounder","OM: Average SSB Depletion",0.805779965598006
