"","Species","Performance metric","SSM_Ricker_OM__SS_estM_dynamicCat1_EM"
"1","Pollock","Average Catch",4156012.65337091
"2","Pollock","Catch IAV",0.255596154122801
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.600691490075912
"5","Pollock","EM: P(Fy > Flimit)",0.0263565891472868
"6","Pollock","EM: P(SSB < SSBlimit)",0.033953488372093
"7","Pollock","OM: P(Fy > Flimit)",0.0291472868217054
"8","Pollock","OM: P(SSB < SSBlimit)",0.00325581395348837
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0234883720930233
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0262790697674419
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0306976744186047
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal B",27012878.396755
"14","Pollock","OM: Terminal SSB",5928617.88324914
"15","Pollock","OM: Terminal SSB Depletion",0.833410880526751
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.683760890600214
"17","Cod","Average Catch",184866.574281168
"18","Cod","Catch IAV",0.131178362493913
"19","Cod","P(Closed)",0
"20","Cod","Avg terminal SSB Relative MSE",0.683821342191033
"21","Cod","EM: P(Fy > Flimit)",0.0226356589147287
"22","Cod","EM: P(SSB < SSBlimit)",0
"23","Cod","OM: P(Fy > Flimit)",0.00534883720930233
"24","Cod","OM: P(SSB < SSBlimit)",0
"25","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0221705426356589
"26","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00488372093023256
"27","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Cod","OM: Terminal B",1588800.56344821
"30","Cod","OM: Terminal SSB",274740.549637789
"31","Cod","OM: Terminal SSB Depletion",0.72043487407333
"32","Cod","OM: Terminal SSB Depletion (Dynamic)",0.646980067029245
"33","Arrowtooth flounder","Average Catch",67811.7471144806
"34","Arrowtooth flounder","Catch IAV",0.104882113629007
"35","Arrowtooth flounder","P(Closed)",0
"36","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.374622731528239
"37","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"38","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"40","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"41","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"44","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"45","Arrowtooth flounder","OM: Terminal B",520497.40096367
"46","Arrowtooth flounder","OM: Terminal SSB",200357.199466723
"47","Arrowtooth flounder","OM: Terminal SSB Depletion",0.529514195380982
"48","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.382432058308518
