"","Species","Performance metric","SSM_Ricker_OM__SS_fixM_Cat1_EM"
"1","Pollock","Average Catch",2570968.02976301
"2","Pollock","Catch IAV",0.181424376778883
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB Relative MSE",0.65681983258645
"5","Pollock","Avg terminal SSB Relative MSE",0.0676618408183026
"6","Pollock","EM: P(Fy > Flimit)",0.0196899224806202
"7","Pollock","EM: P(SSB < SSBlimit)",0.00705426356589147
"8","Pollock","OM: P(Fy > Flimit)",0
"9","Pollock","OM: P(SSB < SSBlimit)",0
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0196899224806202
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00705426356589147
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"14","Pollock","OM: Terminal B",27380300.2416264
"15","Pollock","OM: Terminal SSB",6995861.91066368
"16","Pollock","OM: Terminal SSB Depletion",0.983438353590578
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.80392697975877
"18","Pollock","OM: Average SSB Depletion",0.973098199070415
"19","Cod","Average Catch",161636.908222907
"20","Cod","Catch IAV",0.124179421092433
"21","Cod","P(Closed)",0
"22","Cod","Avg SSB Relative MSE",0.665834740119699
"23","Cod","Avg terminal SSB Relative MSE",0.000546999509648424
"24","Cod","EM: P(Fy > Flimit)",0.020077519379845
"25","Cod","EM: P(SSB < SSBlimit)",0.00232558139534884
"26","Cod","OM: P(Fy > Flimit)",0
"27","Cod","OM: P(SSB < SSBlimit)",0
"28","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.020077519379845
"29","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"30","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00232558139534884
"31","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"32","Cod","OM: Terminal B",1621166.24003643
"33","Cod","OM: Terminal SSB",302056.495437426
"34","Cod","OM: Terminal SSB Depletion",0.792071963520275
"35","Cod","OM: Terminal SSB Depletion (Dynamic)",0.710749141520211
"36","Cod","OM: Average SSB Depletion",0.757687581175424
"37","Arrowtooth flounder","Average Catch",58883.8709949484
"38","Arrowtooth flounder","Catch IAV",0.0859686480071785
"39","Arrowtooth flounder","P(Closed)",0
"40","Arrowtooth flounder","Avg SSB Relative MSE",0.27695936992834
"41","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00610090488377406
"42","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"44","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"45","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"46","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"47","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"48","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"49","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: Terminal B",680938.304053513
"51","Arrowtooth flounder","OM: Terminal SSB",302888.316033297
"52","Arrowtooth flounder","OM: Terminal SSB Depletion",0.800481011886989
"53","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.578645385859817
"54","Arrowtooth flounder","OM: Average SSB Depletion",0.759802716959754
