"","Species","Performance metric","SSM_Ricker_OM__SS_fixM_dynamicCat1_EM"
"1","Pollock","Average Catch",2571863.42402381
"2","Pollock","Catch IAV",0.180559278572047
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.65671082241505
"5","Pollock","EM: P(Fy > Flimit)",0.0192248062015504
"6","Pollock","EM: P(SSB < SSBlimit)",0.0051937984496124
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0192248062015504
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0051937984496124
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal B",27393146.8313081
"14","Pollock","OM: Terminal SSB",6998521.66210011
"15","Pollock","OM: Terminal SSB Depletion",0.983811777999065
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.804286427952146
"17","Cod","Average Catch",161777.150610978
"18","Cod","Catch IAV",0.119243435007718
"19","Cod","P(Closed)",0
"20","Cod","Avg terminal SSB Relative MSE",0.665659739974372
"21","Cod","EM: P(Fy > Flimit)",0.021937984496124
"22","Cod","EM: P(SSB < SSBlimit)",0
"23","Cod","OM: P(Fy > Flimit)",0
"24","Cod","OM: P(SSB < SSBlimit)",0
"25","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.021937984496124
"26","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Cod","OM: Terminal B",1621693.80121334
"30","Cod","OM: Terminal SSB",302017.255929759
"31","Cod","OM: Terminal SSB Depletion",0.791960866463235
"32","Cod","OM: Terminal SSB Depletion (Dynamic)",0.710391142881194
"33","Arrowtooth flounder","Average Catch",58902.2178405836
"34","Arrowtooth flounder","Catch IAV",0.0861256221138746
"35","Arrowtooth flounder","P(Closed)",0
"36","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.276994933230389
"37","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"38","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"40","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"41","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"44","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"45","Arrowtooth flounder","OM: Terminal B",680616.342634569
"46","Arrowtooth flounder","OM: Terminal SSB",302642.604320563
"47","Arrowtooth flounder","OM: Terminal SSB Depletion",0.799839264779824
"48","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.578190606617913
