"","Species","Performance metric","SS_OM__SS_fixM_Cat1_EM"
"1","Pollock","Average Catch",2033073.57510783
"2","Pollock","Catch IAV",0.150135329683994
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB Relative MSE",0.54859100384353
"5","Pollock","Avg terminal SSB Relative MSE",0.000502823675047085
"6","Pollock","EM: P(Fy > Flimit)",0.0192248062015504
"7","Pollock","EM: P(SSB < SSBlimit)",0.0105426356589147
"8","Pollock","OM: P(Fy > Flimit)",0
"9","Pollock","OM: P(SSB < SSBlimit)",0.0206201550387597
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0192248062015504
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000465116279069767
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0105426356589147
"14","Pollock","OM: Terminal B",15588142.7107119
"15","Pollock","OM: Terminal SSB",3923978.08624741
"16","Pollock","OM: Terminal SSB Depletion",0.442068668716016
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.437281850978375
"18","Pollock","OM: Average SSB Depletion",0.438878237819728
"19","Cod","Average Catch",140616.942817302
"20","Cod","Catch IAV",0.11327138473734
"21","Cod","P(Closed)",0
"22","Cod","Avg SSB Relative MSE",0.620243151663302
"23","Cod","Avg terminal SSB Relative MSE",0.000249293883987435
"24","Cod","EM: P(Fy > Flimit)",0.0194573643410853
"25","Cod","EM: P(SSB < SSBlimit)",0.00891472868217054
"26","Cod","OM: P(Fy > Flimit)",0
"27","Cod","OM: P(SSB < SSBlimit)",0.012093023255814
"28","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0194573643410853
"29","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"30","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000775193798449612
"31","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00395348837209302
"32","Cod","OM: Terminal B",1239815.54216657
"33","Cod","OM: Terminal SSB",262672.01318401
"34","Cod","OM: Terminal SSB Depletion",0.444875209976025
"35","Cod","OM: Terminal SSB Depletion (Dynamic)",0.442957204219174
"36","Cod","OM: Average SSB Depletion",0.424675682969166
"37","Arrowtooth flounder","Average Catch",34427.6720375758
"38","Arrowtooth flounder","Catch IAV",0.0761658641792121
"39","Arrowtooth flounder","P(Closed)",0
"40","Arrowtooth flounder","Avg SSB Relative MSE",0.19291187191073
"41","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00019883958823215
"42","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"44","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"45","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"46","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"47","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"48","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"49","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: Terminal B",312684.044726901
"51","Arrowtooth flounder","OM: Terminal SSB",170132.079699462
"52","Arrowtooth flounder","OM: Terminal SSB Depletion",0.384776730331848
"53","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.383232532737729
"54","Arrowtooth flounder","OM: Average SSB Depletion",0.419159424044103
