"","Species","Performance metric","SS_Ricker_OM__SS_fixM_AvgF_EM"
"1","Pollock","Average Catch",1335734.2214273
"2","Pollock","Catch IAV",0.12297467831869
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.000610358258877641
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal B",18900262.1828751
"14","Pollock","OM: Terminal SSB",5559448.45599864
"15","Pollock","OM: Terminal SSB Depletion",1.01669646057667
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.845966449622437
"17","Cod","Average Catch",211537.601277718
"18","Cod","Catch IAV",0.14558137442553
"19","Cod","P(Closed)",0
"20","Cod","Avg terminal SSB Relative MSE",0.000449637754677568
"21","Cod","EM: P(Fy > Flimit)",0
"22","Cod","EM: P(SSB < SSBlimit)",0.0121705426356589
"23","Cod","OM: P(Fy > Flimit)",0
"24","Cod","OM: P(SSB < SSBlimit)",0.000155038759689922
"25","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"26","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.012015503875969
"28","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Cod","OM: Terminal B",1287090.6656638
"30","Cod","OM: Terminal SSB",218416.697126629
"31","Cod","OM: Terminal SSB Depletion",0.554261888043773
"32","Cod","OM: Terminal SSB Depletion (Dynamic)",0.515924396751191
"33","Arrowtooth flounder","Average Catch",15372.1248049737
"34","Arrowtooth flounder","Catch IAV",0.042807531597789
"35","Arrowtooth flounder","P(Closed)",0
"36","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000116804685095363
"37","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"38","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"40","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"41","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"44","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"45","Arrowtooth flounder","OM: Terminal B",741332.010721235
"46","Arrowtooth flounder","OM: Terminal SSB",496109.393331312
"47","Arrowtooth flounder","OM: Terminal SSB Depletion",1.13306956438584
"48","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.880072347878821
