"","Species","Performance metric","SS_Ricker_OM__SS_fixM_Cat1_EM"
"1","Pollock","Average Catch",2400621.01129124
"2","Pollock","Catch IAV",0.191985438745393
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB relative bias",-0.739250143891907
"5","Pollock","Avg terminal SSB relative bias",0.0056402878713935
"6","Pollock","Avg SSB Relative MSE",0.741439113996212
"7","Pollock","Avg terminal SSB Relative MSE",0.0248216123502187
"8","Pollock","EM: P(Fy > Flimit)",0.0196899224806202
"9","Pollock","EM: P(SSB < SSBlimit)",0.0148062015503876
"10","Pollock","OM: P(Fy > Flimit)",0.000232558139534884
"11","Pollock","OM: P(SSB < SSBlimit)",0
"12","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0196899224806202
"13","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000232558139534884
"14","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0148062015503876
"15","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"16","Pollock","OM: Terminal B",18404428.1651865
"17","Pollock","OM: Terminal SSB",4684180.97236587
"18","Pollock","OM: Terminal SSB Depletion",0.856882437512164
"19","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.716046539329476
"20","Pollock","OM: Average SSB Depletion",0.844192103344478
"21","Cod","Average Catch",160409.916607529
"22","Cod","Catch IAV",0.116681155368196
"23","Cod","P(Closed)",0
"24","Cod","Avg SSB relative bias",-0.788400587185993
"25","Cod","Avg terminal SSB relative bias",0.00149971282606263
"26","Cod","Avg SSB Relative MSE",0.788942821092504
"27","Cod","Avg terminal SSB Relative MSE",0.0151063267722851
"28","Cod","EM: P(Fy > Flimit)",0.02
"29","Cod","EM: P(SSB < SSBlimit)",0.000775193798449612
"30","Cod","OM: P(Fy > Flimit)",0
"31","Cod","OM: P(SSB < SSBlimit)",0
"32","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.02
"33","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"34","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000775193798449612
"35","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"36","Cod","OM: Terminal B",1404296.43828035
"37","Cod","OM: Terminal SSB",297374.303518832
"38","Cod","OM: Terminal SSB Depletion",0.758554873953315
"39","Cod","OM: Terminal SSB Depletion (Dynamic)",0.700811475111894
"40","Cod","OM: Average SSB Depletion",0.727168081566222
"41","Arrowtooth flounder","Average Catch",48240.7311697103
"42","Arrowtooth flounder","Catch IAV",0.0671441187924689
"43","Arrowtooth flounder","P(Closed)",0
"44","Arrowtooth flounder","Avg SSB relative bias",-0.448983889715587
"45","Arrowtooth flounder","Avg terminal SSB relative bias",0.00496785055191961
"46","Arrowtooth flounder","Avg SSB Relative MSE",0.451073372094576
"47","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0117894254541594
"48","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"49","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"51","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"52","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"53","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"54","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"55","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"56","Arrowtooth flounder","OM: Terminal B",482136.719204629
"57","Arrowtooth flounder","OM: Terminal SSB",262767.30029269
"58","Arrowtooth flounder","OM: Terminal SSB Depletion",0.60012504371916
"59","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.465355221995702
"60","Arrowtooth flounder","OM: Average SSB Depletion",0.591613057441968
