"","Species","Performance metric","SS_Ricker_OM__SS_fixM_Tier1_EM"
"1","Pollock","Average Catch",2108183.86309203
"2","Pollock","Catch IAV",0.202352289301888
"3","Pollock","P(Closed)",7.75193798449612e-05
"4","Pollock","Avg SSB Relative MSE",0.53297220233837
"5","Pollock","Avg terminal SSB Relative MSE",0.000526047225972689
"6","Pollock","EM: P(Fy > Flimit)",0
"7","Pollock","EM: P(SSB < SSBlimit)",7.75193798449612e-05
"8","Pollock","OM: P(Fy > Flimit)",0
"9","Pollock","OM: P(SSB < SSBlimit)",0
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.75193798449612e-05
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"14","Pollock","OM: Terminal B",18508931.3676864
"15","Pollock","OM: Terminal SSB",4936075.76323925
"16","Pollock","OM: Terminal SSB Depletion",0.902961413823819
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.755125698285051
"18","Pollock","OM: Average SSB Depletion",0.887285262546155
"19","Cod","Average Catch",145952.501409548
"20","Cod","Catch IAV",0.139458063794684
"21","Cod","P(Closed)",0
"22","Cod","Avg SSB Relative MSE",0.607755399563978
"23","Cod","Avg terminal SSB Relative MSE",0.000237835161607783
"24","Cod","EM: P(Fy > Flimit)",0
"25","Cod","EM: P(SSB < SSBlimit)",0
"26","Cod","OM: P(Fy > Flimit)",0
"27","Cod","OM: P(SSB < SSBlimit)",0
"28","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"29","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"30","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"31","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"32","Cod","OM: Terminal B",1421037.96999923
"33","Cod","OM: Terminal SSB",314191.935589125
"34","Cod","OM: Terminal SSB Depletion",0.801444507080709
"35","Cod","OM: Terminal SSB Depletion (Dynamic)",0.740346025679169
"36","Cod","OM: Average SSB Depletion",0.770249470543629
"37","Arrowtooth flounder","Average Catch",42221.6353546197
"38","Arrowtooth flounder","Catch IAV",0.0566325502991948
"39","Arrowtooth flounder","P(Closed)",0
"40","Arrowtooth flounder","Avg SSB Relative MSE",0.174550132345124
"41","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000131088327355155
"42","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"44","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"45","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"46","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"47","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"48","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"49","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: Terminal B",568054.830428036
"51","Arrowtooth flounder","OM: Terminal SSB",331732.927499858
"52","Arrowtooth flounder","OM: Terminal SSB Depletion",0.757633511132582
"53","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.587845757468274
"54","Arrowtooth flounder","OM: Average SSB Depletion",0.726434761157787
