"","Species","Performance metric","SS_Ricker_OM__SS_fixM_dynamicTier1_EM"
"1","Pollock","Average Catch",2125758.98140211
"2","Pollock","Catch IAV",0.180222785413617
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.000473599957467776
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal B",18570340.1061561
"14","Pollock","OM: Terminal SSB",4938489.51206618
"15","Pollock","OM: Terminal SSB Depletion",0.903137217163173
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.754511117359222
"17","Cod","Average Catch",146127.191654387
"18","Cod","Catch IAV",0.104166119111388
"19","Cod","P(Closed)",0
"20","Cod","Avg terminal SSB Relative MSE",0.000231947393705307
"21","Cod","EM: P(Fy > Flimit)",0
"22","Cod","EM: P(SSB < SSBlimit)",0
"23","Cod","OM: P(Fy > Flimit)",0
"24","Cod","OM: P(SSB < SSBlimit)",0
"25","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"26","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Cod","OM: Terminal B",1421144.36757173
"30","Cod","OM: Terminal SSB",313290.892250278
"31","Cod","OM: Terminal SSB Depletion",0.795017980447185
"32","Cod","OM: Terminal SSB Depletion (Dynamic)",0.736829765491639
"33","Arrowtooth flounder","Average Catch",42209.0211439538
"34","Arrowtooth flounder","Catch IAV",0.0564647237557408
"35","Arrowtooth flounder","P(Closed)",0
"36","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000132739273971747
"37","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"38","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"40","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"41","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"44","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"45","Arrowtooth flounder","OM: Terminal B",568297.49058871
"46","Arrowtooth flounder","OM: Terminal SSB",331921.376792284
"47","Arrowtooth flounder","OM: Terminal SSB Depletion",0.758078792435246
"48","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.588190720102733
