"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRup","SS_OM__SS_fixM_dynamicTier3_EM_ATFRup","SS_OM__SS_estM_Tier3_EM_ATFRup","SS_OM__SS_estM_dynamicTier3_EM_ATFRup","SSM_OM__SS_fixM_Tier3_EM_ATFRup","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRup","SSM_OM__SS_estM_Tier3_EM_ATFRup","SSM_OM__SS_estM_dynamicTier3_EM_ATFRup","MS_OM__SS_fixM_Tier3_EM_ATFRup","MS_OM__SS_fixM_dynamicTier3_EM_ATFRup","MS_OM__SS_estM_Tier3_EM_ATFRup","MS_OM__SS_estM_dynamicTier3_EM_ATFRup"
"1","Pollock","Average Catch",2084628.42186777,2106736.74213448,2345845.72927602,2361541.60738207,2449656.94970838,2463023.2547149,3830595.07162166,3851874.07164885,2784778.52536564,2778236.97393722,3448812.04920131,3447110.35892355
"2","Pollock","Catch IAV",83325.4851035365,69416.7957640063,304370.203377928,167117.906400152,68343.9962274538,61686.7497016015,413980.003933656,257405.964121444,129324.120460004,126607.302588939,520996.934538369,349889.593227312
"3","Pollock","P(Closed)",0,0,0.000387596899224806,0,0,0,0.00062015503875969,0,7.75193798449612e-05,0,0.00837209302325581,0.00201550387596899
"4","Pollock","Avg terminal SSB Relative MSE",0.000277120551096772,0.00027177640457383,0.0135401573340533,0.0124362478539103,0.0839450229174233,0.0828625697412225,0.000660862442346288,0.000599300514223521,0.00317534750186888,0.00318458462067996,0.0125364165398586,0.0120046718655223
"5","Pollock","EM: P(Fy > Flimit)",0,0,0.00821705426356589,0.000387596899224806,0,0,0,0,0,0,0.0313178294573643,0.0232558139534884
"6","Pollock","EM: P(SSB < SSBlimit)",0,0,0.00162790697674419,0,0,0,0.000465116279069767,0,0.000232558139534884,0,0.0128682170542636,0.00542635658914729
"7","Pollock","OM: P(Fy > Flimit)",0,0,0.302642276422764,0.376585365853659,0,0,8.13008130081301e-05,0.510487804878049,0,0,0,0
"8","Pollock","OM: P(SSB < SSBlimit)",0,0,0.0288372093023256,0.0013953488372093,0,0,0.00294573643410853,0,0,0,0.000310077519379845,0.000930232558139535
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0.0059349593495935,0.00016260162601626,0,0,0,0,0,0,0.0314227642276423,0.0232926829268293
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0.300365853658537,0.376341463414634,0,0,8.13008130081301e-05,0.510487804878049,0,0,0,0
