"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch",151197.247637021
"2","Pollock","Catch IAV",21566.5264296476
"3","Pollock","P(Closed)",0.00420634920634921
"4","Pollock","Avg terminal SSB Relative MSE",0.00759695230130299
"5","Pollock","EM: P(Fy > Flimit)",0.00246031746031746
"6","Pollock","EM: P(SSB < SSBlimit)",0.00523809523809524
"7","Pollock","OM: P(Fy > Flimit)",0.281349206349206
"8","Pollock","OM: P(SSB < SSBlimit)",0.0388888888888889
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.278888888888889
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0336507936507937
"13","Pollock","OM: Terminal SSB/SSBtarget",0.374345965965383
"14","Arrowtooth flounder","Average Catch",111235.533257191
"15","Arrowtooth flounder","Catch IAV",452.243943730828
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00270750463653784
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.552895410330649
"27","Cod","Average Catch",31754.5081116037
"28","Cod","Catch IAV",12787.0275826513
"29","Cod","P(Closed)",0.0311111111111111
"30","Cod","Avg terminal SSB Relative MSE",0.00525800208967172
"31","Cod","EM: P(Fy > Flimit)",0.0185714285714286
"32","Cod","EM: P(SSB < SSBlimit)",0.0468253968253968
"33","Cod","OM: P(Fy > Flimit)",0.0594444444444444
"34","Cod","OM: P(SSB < SSBlimit)",0.073968253968254
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000317460317460317
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0411904761904762
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000158730158730159
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0273015873015873
"39","Cod","OM: Terminal SSB/SSBtarget",0.374638921584729
