"","Species","Performance metric","MS_OM__SS_fixM_Cat1_EM_ATFRdown"
"1","Pollock","Average Catch",239262.59412173
"2","Pollock","Catch IAV",13375.2614509617
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0500036802022572
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.00492063492063492
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00492063492063492
"13","Pollock","OM: Terminal SSB Depletion",0.599447751146003
"14","Arrowtooth flounder","Average Catch",96592.6531150336
"15","Arrowtooth flounder","Catch IAV",1160.62519374341
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.182819099395628
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.42284504143434
"27","Cod","Average Catch",28742.2343827948
"28","Cod","Catch IAV",5401.2602017779
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0266860302347302
"31","Cod","EM: P(Fy > Flimit)",0.181507936507937
"32","Cod","EM: P(SSB < SSBlimit)",0.0632539682539683
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.107222222222222
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.181507936507937
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.043968253968254
"39","Cod","OM: Terminal SSB Depletion",0.436756847144015
