"","Species","Performance metric","SSM_OM__SS_fixM_Cat1_EM_ATFRdown"
"1","Pollock","Average Catch",114329.783758083
"2","Pollock","Catch IAV",8255.58218528969
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0257932438353563
"5","Pollock","EM: P(Fy > Flimit)",0.000158730158730159
"6","Pollock","EM: P(SSB < SSBlimit)",0.00777777777777778
"7","Pollock","OM: P(Fy > Flimit)",0.119126984126984
"8","Pollock","OM: P(SSB < SSBlimit)",0.0495238095238095
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.118968253968254
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0417460317460317
"13","Pollock","OM: Terminal SSB Depletion",0.481062325981434
"14","Arrowtooth flounder","Average Catch",93060.2377005442
"15","Arrowtooth flounder","Catch IAV",1228.75958668864
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.144151857812215
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.399146513781881
"27","Cod","Average Catch",19284.7995720842
"28","Cod","Catch IAV",4936.15170247496
"29","Cod","P(Closed)",0.00444444444444444
"30","Cod","Avg terminal SSB Relative MSE",0.141100748979286
"31","Cod","EM: P(Fy > Flimit)",0.311111111111111
"32","Cod","EM: P(SSB < SSBlimit)",0.103333333333333
"33","Cod","OM: P(Fy > Flimit)",0.984365079365079
"34","Cod","OM: P(SSB < SSBlimit)",0.586428571428571
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.673253968253968
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.483095238095238
"39","Cod","OM: Terminal SSB Depletion",0.23121375131814
