"","Species","Performance metric","SS_OM__SS_estM_Tier3_EM_ATFRdown"
"1","Pollock","Average Catch",162422.232562719
"2","Pollock","Catch IAV",24591.245258249
"3","Pollock","P(Closed)",0.00698412698412698
"4","Pollock","Avg terminal SSB Relative MSE",0.0198739733878607
"5","Pollock","EM: P(Fy > Flimit)",0.116746031746032
"6","Pollock","EM: P(SSB < SSBlimit)",0.00198412698412698
"7","Pollock","OM: P(Fy > Flimit)",0.884206349206349
"8","Pollock","OM: P(SSB < SSBlimit)",0.0237301587301587
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00746031746031746
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.774920634920635
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000238095238095238
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.021984126984127
"13","Pollock","OM: Terminal SSB Depletion",0.382034035631061
"14","Arrowtooth flounder","Average Catch",70638.9185712984
"15","Arrowtooth flounder","Catch IAV",2134.00769680395
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00297749660388776
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.073968253968254
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.073968253968254
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.40505365480553
"27","Cod","Average Catch",25975.9869809604
"28","Cod","Catch IAV",6730.9110355402
"29","Cod","P(Closed)",0.0153174603174603
"30","Cod","Avg terminal SSB Relative MSE",0.0226345227634539
"31","Cod","EM: P(Fy > Flimit)",0.0257142857142857
"32","Cod","EM: P(SSB < SSBlimit)",0.000952380952380952
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",7.93650793650794e-05
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0257142857142857
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000952380952380952
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",7.93650793650794e-05
"39","Cod","OM: Terminal SSB Depletion",0.546510387285709
