"","Species","Performance metric","SSM_OM__SS_estM_Fspr_EM_ATFRup"
"1","Pollock","Average Catch",158691.551438496
"2","Pollock","Catch IAV",15924.8754944839
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00809069428540777
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.0692063492063492
"7","Pollock","OM: P(Fy > Flimit)",0.0707936507936508
"8","Pollock","OM: P(SSB < SSBlimit)",0.161507936507937
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0707936507936508
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00317460317460317
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0954761904761905
"13","Pollock","OM: Terminal SSB Depletion",0.352826587485895
"14","Pollock","Average M",0.329466890133513
"15","Pollock","M var",0.000655396720656411
"16","Pollock","Min M",0.255151912009129
"17","Pollock","Max M",0.419194690034074
"18","Arrowtooth flounder","Average Catch",144860.824177119
"19","Arrowtooth flounder","Catch IAV",1222.18670574939
"20","Arrowtooth flounder","P(Closed)",0
"21","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0147378302183611
"22","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"23","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"24","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"25","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"27","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"29","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: Terminal SSB Depletion",0.599975822028973
"31","Arrowtooth flounder","Average M",0.258207215896842
"32","Arrowtooth flounder","M var",6.59499759905988e-05
"33","Arrowtooth flounder","Min M",0.250171414167183
"34","Arrowtooth flounder","Max M",0.278186312531922
"35","Cod","Average Catch",14460.9062430247
"36","Cod","Catch IAV",1347.00803198125
"37","Cod","P(Closed)",0
"38","Cod","Avg terminal SSB Relative MSE",0.0066073223387946
"39","Cod","EM: P(Fy > Flimit)",0
"40","Cod","EM: P(SSB < SSBlimit)",0.104126984126984
"41","Cod","OM: P(Fy > Flimit)",0
"42","Cod","OM: P(SSB < SSBlimit)",0.000158730158730159
"43","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"44","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"45","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.103968253968254
"46","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"47","Cod","OM: Terminal SSB Depletion",0.497115471827118
"48","Cod","Average M",0.331385217664693
"49","Cod","M var",8.46016757001681e-05
"50","Cod","Min M",0.324837351403563
"51","Cod","Max M",0.353322024034068
