"","Species","Performance metric","SS_OM__SS_fixM_Tier1_EM_ATFRup"
"1","Pollock","Average Catch",132064.82064031
"2","Pollock","Catch IAV",15444.1892236203
"3","Pollock","P(Closed)",0.000238095238095238
"4","Pollock","Avg terminal SSB Relative MSE",0.00801699422100492
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.000476190476190476
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.00388888888888889
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00142857142857143
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0116666666666667
"13","Pollock","OM: Terminal SSB/SSBtarget",0.440148426955475
"14","Arrowtooth flounder","Average Catch",95929.491172939
"15","Arrowtooth flounder","Catch IAV",223.924559120135
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00152464096993735
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.647146390964459
"27","Cod","Average Catch",26574.7480986305
"28","Cod","Catch IAV",6977.24626651876
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.00229195810721473
"31","Cod","EM: P(Fy > Flimit)",0
"32","Cod","EM: P(SSB < SSBlimit)",0.0019047619047619
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.0305555555555556
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00571428571428571
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0916666666666667
"39","Cod","OM: Terminal SSB/SSBtarget",0.45393331799758
