"","Species","Performance metric","MS_OM__SS_fixM_AvgF_EM_AllDown"
"1","Pollock","Average Catch",111414.647943285
"2","Pollock","Catch IAV",6461.96134992418
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0917219569064229
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.000238095238095238
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.14
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.139761904761905
"13","Pollock","OM: Terminal SSB/SSBtarget",0.929515987575722
"14","Arrowtooth flounder","Average Catch",18054.8909524899
"15","Arrowtooth flounder","Catch IAV",12.5273510885697
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.109285054249395
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",1.11825817626493
"27","Cod","Average Catch",18689.7070633821
"28","Cod","Catch IAV",2878.39984459377
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0298801751387043
"31","Cod","EM: P(Fy > Flimit)",0.00817460317460317
"32","Cod","EM: P(SSB < SSBlimit)",0.0515873015873016
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.111746031746032
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00817460317460317
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000158730158730159
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0603174603174603
"39","Cod","OM: Terminal SSB/SSBtarget",0.52920345398781
