"","Species","Performance metric","SSM_OM__SS_estM_Tier1_EM_AllDown"
"1","Pollock","Average Catch",100744.306999292
"2","Pollock","Catch IAV",14526.06393483
"3","Pollock","P(Closed)",0.005
"4","Pollock","Avg terminal SSB Relative MSE",0.0308381083800447
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.00666666666666667
"7","Pollock","OM: P(Fy > Flimit)",0.000793650793650794
"8","Pollock","OM: P(SSB < SSBlimit)",0.0346031746031746
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000793650793650794
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0023015873015873
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0302380952380952
"13","Pollock","OM: Terminal SSB Depletion",0.395083151301308
"14","Pollock","Average M",0.305292611868825
"15","Pollock","M var",0.000953345705976788
"16","Pollock","Min M",0.230115709132837
"17","Pollock","Max M",0.445406843214171
"18","Arrowtooth flounder","Average Catch",78416.5202470089
"19","Arrowtooth flounder","Catch IAV",949.134108883227
"20","Arrowtooth flounder","P(Closed)",0
"21","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00795232245724843
"22","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"23","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"24","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"25","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"27","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"29","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: Terminal SSB Depletion",0.448940589498861
"31","Arrowtooth flounder","Average M",0.259936655799445
"32","Arrowtooth flounder","M var",6.72714623087102e-05
"33","Arrowtooth flounder","Min M",0.251706519787612
"34","Arrowtooth flounder","Max M",0.282177527484153
"35","Cod","Average Catch",8712.24020040295
"36","Cod","Catch IAV",2250.52543494457
"37","Cod","P(Closed)",0.10484126984127
"38","Cod","Avg terminal SSB Relative MSE",0.0219550268955629
"39","Cod","EM: P(Fy > Flimit)",0.00293650793650794
"40","Cod","EM: P(SSB < SSBlimit)",0.108809523809524
"41","Cod","OM: P(Fy > Flimit)",0
"42","Cod","OM: P(SSB < SSBlimit)",0.000158730158730159
"43","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00293650793650794
"44","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"45","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.108650793650794
"46","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"47","Cod","OM: Terminal SSB Depletion",0.485086915286305
"48","Cod","Average M",0.33344406347634
"49","Cod","M var",8.5234716981961e-05
"50","Cod","Min M",0.326953645917759
"51","Cod","Max M",0.355333156331769
