"","Species","Performance metric","SSM_OM__SS_fixM_Tier3_EM_AllUp"
"1","Pollock","Average Catch",205693.32723346
"2","Pollock","Catch IAV",24507.3970068133
"3","Pollock","P(Closed)",0.000873015873015873
"4","Pollock","Avg terminal SSB Relative MSE",0.0177281533839917
"5","Pollock","EM: P(Fy > Flimit)",0.0207936507936508
"6","Pollock","EM: P(SSB < SSBlimit)",7.93650793650794e-05
"7","Pollock","OM: P(Fy > Flimit)",0.467936507936508
"8","Pollock","OM: P(SSB < SSBlimit)",0.00103174603174603
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00214285714285714
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.449285714285714
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000952380952380952
"13","Pollock","OM: Terminal SSB Depletion",0.553825129342927
"14","Arrowtooth flounder","Average Catch",129996.295616579
"15","Arrowtooth flounder","Catch IAV",495.619388962038
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.13525682907936
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.674120664779379
"27","Cod","Average Catch",29400.7837177901
"28","Cod","Catch IAV",12032.5629099675
"29","Cod","P(Closed)",0.0554761904761905
"30","Cod","Avg terminal SSB Relative MSE",0.146649036691281
"31","Cod","EM: P(Fy > Flimit)",0.148888888888889
"32","Cod","EM: P(SSB < SSBlimit)",0.0512698412698413
"33","Cod","OM: P(Fy > Flimit)",0.951428571428571
"34","Cod","OM: P(SSB < SSBlimit)",0.049047619047619
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.802539682539683
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0466666666666667
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0444444444444444
"39","Cod","OM: Terminal SSB Depletion",0.346369717081523
