"","Species","Performance metric","SS_OM__SS_estM_Cat1_EM_AllUp"
"1","Pollock","Average Catch",214829.247221414
"2","Pollock","Catch IAV",21994.8101573302
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.099716009691857
"5","Pollock","EM: P(Fy > Flimit)",0.0046031746031746
"6","Pollock","EM: P(SSB < SSBlimit)",0.0107142857142857
"7","Pollock","OM: P(Fy > Flimit)",0.956746031746032
"8","Pollock","OM: P(SSB < SSBlimit)",0.0431746031746032
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.952142857142857
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00158730158730159
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.034047619047619
"13","Pollock","OM: Terminal SSB Depletion",0.567224899401287
"14","Arrowtooth flounder","Average Catch",122540.284982152
"15","Arrowtooth flounder","Catch IAV",2345.76090090677
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00454816255483791
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.121190476190476
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.121190476190476
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.508660149108275
"27","Cod","Average Catch",29156.2390407534
"28","Cod","Catch IAV",5041.19716792974
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0568673423564655
"31","Cod","EM: P(Fy > Flimit)",0.0393650793650794
"32","Cod","EM: P(SSB < SSBlimit)",0.058015873015873
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0393650793650794
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.058015873015873
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB Depletion",0.884254244854702
