"","Species","Performance metric","MS_OM__SS_estM_Fspr_EM_ConstantR"
"1","Pollock","Average Catch",472613.964608405
"2","Pollock","Catch IAV",56778.1844490316
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0581085741638402
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.0177777777777778
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0443650793650794
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000714285714285714
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0273015873015873
"13","Pollock","OM: Terminal SSB Depletion",0.630753453988252
"14","Pollock","Average M",0.410504791382418
"15","Pollock","M var",0.000384278143729669
"16","Pollock","Min M",0.346899340506722
"17","Pollock","Max M",0.469565290814818
"18","Arrowtooth flounder","Average Catch",110040.930301737
"19","Arrowtooth flounder","Catch IAV",1282.78380684806
"20","Arrowtooth flounder","P(Closed)",0
"21","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0163625618089113
"22","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"23","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"24","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"25","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"27","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"29","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: Terminal SSB Depletion",0.463416854062225
"31","Arrowtooth flounder","Average M",0.250832372510974
"32","Arrowtooth flounder","M var",7.25434061052264e-05
"33","Arrowtooth flounder","Min M",0.245045708549574
"34","Arrowtooth flounder","Max M",0.272289196039802
"35","Cod","Average Catch",22642.2619899046
"36","Cod","Catch IAV",3333.63629536347
"37","Cod","P(Closed)",0
"38","Cod","Avg terminal SSB Relative MSE",0.0128669162141905
"39","Cod","EM: P(Fy > Flimit)",0
"40","Cod","EM: P(SSB < SSBlimit)",0.0557936507936508
"41","Cod","OM: P(Fy > Flimit)",0
"42","Cod","OM: P(SSB < SSBlimit)",0.0892857142857143
"43","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"44","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"45","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000158730158730159
"46","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0336507936507937
"47","Cod","OM: Terminal SSB Depletion",0.507096184319944
"48","Cod","Average M",0.327237118610388
"49","Cod","M var",9.31648623128345e-05
"50","Cod","Min M",0.321410310156401
"51","Cod","Max M",0.350444304975753
