"","Species","Performance metric","MS_OM__SS_fixM_Fspr_EM_ConstantR"
"1","Pollock","Average Catch",299872.346005594
"2","Pollock","Catch IAV",22624.9150021115
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0211620333945188
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.00134920634920635
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",7.93650793650794e-05
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00126984126984127
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB/SSBtarget",1.05527026766848
"14","Arrowtooth flounder","Average Catch",102671.13814967
"15","Arrowtooth flounder","Catch IAV",583.082177276303
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.170690893548951
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.493470666496908
"27","Cod","Average Catch",29821.0409932706
"28","Cod","Catch IAV",7633.50532301994
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0184624532356121
"31","Cod","EM: P(Fy > Flimit)",0.993333333333333
"32","Cod","EM: P(SSB < SSBlimit)",0.0679365079365079
"33","Cod","OM: P(Fy > Flimit)",0.0217460317460317
"34","Cod","OM: P(SSB < SSBlimit)",0.181269841269841
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.971587301587302
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.113333333333333
"39","Cod","OM: Terminal SSB/SSBtarget",0.358643925359693
